File #,File Name,Rarity,Photo Name,Description,Image Type,Color,Location,File Format,Collector Count,Data Dropped,Score,Grade
84,Josh1-84,Rare,,84.8,Digital,Color,RTM,jpg,1,[15/11/2025],53.2,D
85,Josh1-85,Rare,-,-,Digital,Color,RTM,jpg,1,[15/11/2025],50,D
86,Josh1-86,Rare,86,FRK,IPhone,Color,FRA,jpg,1,[15/11/2025],73.2,B
87,Josh1-87,Rare,87,GRM,IPhone,Color,FRA,jpg,1,[15/11/2025],73.1,B
88,Josh1-88,Rare,88,TAM,IPhone,Color,AMS,jpg,1,[15/11/2025],72.6,B
89,Josh1-89,Rare,,89.71,IPhone,Black & White,PRG,jpg,1,[15/11/2025],57.3,C
90,Josh1-90,Rare,-,-,IPhone,Color,PRG,jpg,1,[15/11/2025],52.6,D
91,Josh1-91,Rare,91,CZH,IPhone,Black & White,PRG,jpg,1,[15/11/2025],75.1,A
92,Josh1-92,Rare,,92,IPhone,Color,PRG,jpg,1,[15/11/2025],54.1,D
93,Josh1-93,Rare,-,-,IPhone,Color,PRG,jpg,0,[15/11/2025],53.4,D
94,Josh1-94,Rare,-,-,Digital,Color,RTM,jpg,0,[15/11/2025],50.2,D
95,Josh1-95,Rare,-,-,Digital,Color,MNL,jpg,1,[15/11/2025],51.8,D
96,Josh1-96,Rare,-,-,Digital,Color,MNL,jpg,0,[15/11/2025],52.7,D
97,Josh1-97,Rare,-,-,Digital,Color,N/A,jpg,1,[04/05/2025],50.6,D
98,Josh1-98,Rare,-,-,Digital,Color,RTM,jpg,95,[21/03/2025],47.4,D
99,Josh1-99,Rare,-,-,Digital,Color,RTM,jpg,1,[15/11/2025],48.8,D
100,Josh1-100,Rare,,100.1,Digital,Color,RTM,jpg,1,[15/11/2025],48.7,D
101,Josh1-101,No-rarity,,4,Digital,Color,N/A,jpg,792,[01/01/2025],55.6,C
102,Josh1-102,No-rarity,,4,Digital,Color,N/A,jpg,320,[23/01/2025],56.4,C
103,Josh1-103,No-rarity,,3,Digital,Color,AUH,jpg,296,[22/01/2025],59.5,C
104,Josh1-104,No-rarity,,2,Digital,Color,AUH,jpg,579,[20/12/2024],59.2,C
105,Josh1-105,No-rarity,,3,Digital,Color,AUH,jpg,317,[24/01/2025],59.2,C
106,Josh1-106,No-rarity,,2,Digital,Color,AUH,jpg,1186,[23/12/2024],58,C
